 Re{Ex} Im{Ex} Re{Ey} Im{Ey} Re{Ez} Im{Ez} Re{Hx} Im{Hx} Re{Hy} Im{Hy} Re{Hz} Im{Hz}
  0.17576012E-11  0.34086175E-11 -0.80649033E-27 -0.19649352E-26 -0.10267674E-11 -0.58724905E-13 -0.75266400E-30 -0.27554369E-29 -0.24851752E-14 -0.71536365E-14 -0.59810208E-30  0.12771163E-29
  0.21907747E-11  0.40712053E-11 -0.11414761E-26 -0.22564055E-26 -0.11910422E-11  0.38897738E-13 -0.10928153E-29 -0.31442128E-29 -0.32349398E-14 -0.81122198E-14 -0.54555170E-30  0.16126941E-29
  0.27859702E-11  0.49098819E-11 -0.15798924E-26 -0.25827288E-26 -0.13837733E-11  0.17361669E-12 -0.15308800E-29 -0.35774644E-29 -0.42023321E-14 -0.92155519E-14 -0.43728309E-30  0.20182915E-29
  0.36178305E-11  0.59806053E-11 -0.21531762E-26 -0.29459962E-26 -0.16102849E-11  0.35686439E-12 -0.20924397E-29 -0.40574675E-29 -0.54556441E-14 -0.10485556E-13 -0.25036958E-30  0.25057287E-29
  0.47999139E-11  0.73598393E-11 -0.29039636E-26 -0.33480012E-26 -0.18770934E-11  0.60327515E-12 -0.28102222E-29 -0.45857753E-29 -0.70868894E-14 -0.11947159E-13  0.46277558E-31  0.30882575E-29
  0.65074208E-11  0.91529443E-11 -0.38913330E-26 -0.37901938E-26 -0.21923880E-11  0.93148260E-12 -0.37266068E-29 -0.51629051E-29 -0.92214299E-14 -0.13628732E-13  0.49501813E-30  0.37805979E-29
  0.90148323E-11  0.11506309E-10 -0.51992366E-26 -0.42736914E-26 -0.25668663E-11  0.13650857E-11 -0.48973225E-29 -0.57879494E-29 -0.12032415E-13 -0.15562714E-13  0.11540501E-29  0.45989344E-29
  0.12759647E-10  0.14625077E-10 -0.69504976E-26 -0.47993939E-26 -0.30152570E-11  0.19338174E-11 -0.63970728E-29 -0.64580962E-29 -0.15763035E-13 -0.17786546E-13  0.21043207E-29  0.55608594E-29
  0.18453279E-10  0.18799437E-10 -0.93308712E-26 -0.53682799E-26 -0.35592078E-11  0.26749664E-11 -0.83283772E-29 -0.71680413E-29 -0.20761910E-13 -0.20344152E-13  0.34603489E-29  0.66852521E-29
  0.27280573E-10  0.24444418E-10 -0.12632062E-25 -0.59820129E-26 -0.42330051E-11  0.36351350E-11 -0.10835970E-28 -0.79092626E-29 -0.27541370E-13 -0.23288378E-13  0.53878434E-29  0.79920832E-29
  0.41273867E-10  0.32161897E-10 -0.17332220E-25 -0.66440877E-26 -0.50954741E-11  0.48724697E-11 -0.14131187E-28 -0.86691096E-29 -0.36877502E-13 -0.26685080E-13  0.81336934E-29  0.95021442E-29
  0.64051060E-10  0.42840929E-10 -0.24254885E-25 -0.73619640E-26 -0.62562276E-11  0.64595861E-11 -0.18535150E-28 -0.94296136E-29 -0.49990268E-13 -0.30620166E-13  0.12079691E-28  0.11236716E-28
  0.10236651E-09  0.57828426E-10 -0.34903756E-25 -0.81511357E-26 -0.79378233E-11  0.84874815E-11 -0.24559219E-28 -0.10165820E-28 -0.68886836E-13 -0.35211959E-13  0.17844668E-28  0.13217227E-28
  0.16963414E-09  0.79238256E-10 -0.52225684E-25 -0.90433119E-26 -0.10636328E-10  0.11070565E-10 -0.33064224E-28 -0.10843181E-28 -0.97062689E-13 -0.40633711E-13  0.26492866E-28  0.15465006E-28
  0.29475019E-09  0.11055592E-09 -0.82529356E-25 -0.10104174E-25 -0.15584002E-10  0.14351469E-10 -0.45599351E-28 -0.11412891E-28 -0.14106094E-12 -0.47156675E-13  0.39997300E-28  0.18001368E-28
  0.54711621E-09  0.15793871E-09 -0.14095823E-24 -0.11475790E-25 -0.26286666E-10  0.18496566E-10 -0.65190794E-28 -0.11802098E-28 -0.21434008E-12 -0.55238727E-13  0.62388254E-28  0.20848375E-28
  0.11202902E-08  0.23336011E-09 -0.26995274E-24 -0.13490382E-25 -0.54725890E-10  0.23633357E-10 -0.98392604E-28 -0.11889583E-28 -0.34836666E-12 -0.65726770E-13  0.10303597E-27  0.24030300E-28
  0.26829552E-08  0.36344771E-09 -0.61805253E-24 -0.17021226E-25 -0.15448342E-09  0.29449062E-10 -0.16138677E-27 -0.11431843E-28 -0.63166825E-12 -0.80393446E-13  0.18807244E-27  0.27570442E-28
  0.84232633E-08  0.61939588E-09 -0.19190805E-23 -0.24718915E-25 -0.69620490E-09  0.32421436E-10 -0.30033564E-27 -0.97673080E-29 -0.13984392E-11 -0.10370861E-12  0.41337858E-27  0.31416594E-28
  0.41070467E-07  0.12183389E-08 -0.10468691E-22 -0.42783238E-25 -0.73663634E-08 -0.80799514E-12 -0.60474107E-27 -0.40164636E-29 -0.48154236E-11 -0.15085767E-12  0.13110394E-26  0.34184171E-28
 -0.32926147E-06  0.12024701E-08 -0.20113106E-22  0.73735944E-25  0.50357361E-24  0.89388337E-27  0.16441882E-26  0.14988210E-28 -0.26835940E-10 -0.24473435E-12  0.79931754E-12  0.48730280E-14
  0.41070467E-07  0.12183389E-08 -0.18130032E-23  0.35473417E-25  0.73663634E-08  0.80799514E-12 -0.50072533E-29  0.48194242E-29 -0.48154236E-11 -0.15085767E-12 -0.43701315E-27 -0.11394724E-28
  0.84232633E-08  0.61939588E-09 -0.29584274E-24  0.17045068E-25  0.69620490E-09 -0.32421436E-10 -0.43025411E-28  0.97777803E-30 -0.13984392E-11 -0.10370861E-12 -0.13779286E-27 -0.10472198E-28
  0.26829552E-08  0.36344771E-09 -0.96495094E-25  0.91627606E-26  0.15448342E-09 -0.29449062E-10 -0.28009908E-28 -0.52882845E-30 -0.63166825E-12 -0.80393446E-13 -0.62690813E-28 -0.91901473E-29
  0.11202902E-08  0.23336011E-09 -0.44252253E-25  0.50293299E-26  0.54725890E-10 -0.23633357E-10 -0.18576664E-28 -0.12801251E-29 -0.34836666E-12 -0.65726770E-13 -0.34345323E-28 -0.80101000E-29
